ticker,name,sector,market_cap_bn,market_cap_tier
TRV,The Travelers Companies Inc.,Financials,38.903131815,Large-cap
DIS,The Walt Disney Company,Consumer Discretionary,157.817273295,Large-cap
TMO,Thermo Fisher Scientific,Health Care,83.226586345,Large-cap
TIF,Tiffany & Co.,Consumer Discretionary,12.81051532,Large-cap
TWX,Time Warner Inc.,Consumer Discretionary,74.1858,Large-cap
TJX,TJX Companies Inc.,Consumer Discretionary,48.181450881,Large-cap
TMK,Torchmark Corp.,Financials,9.614412169,Mid-cap
TSS,Total System Services,Information Technology,15.694951118,Large-cap
TSCO,Tractor Supply Company,Consumer Discretionary,8.459271203,Mid-cap
TDG,TransDigm Group,Industrials,15.241203731,Large-cap
TRIP,TripAdvisor,Consumer Discretionary,5.700998508,Mid-cap
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,44.027094922,Large-cap
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,66.135313503,Large-cap
TSN,Tyson Foods,Consumer Staples,26.9575268,Large-cap
USB,U.S. Bancorp,Financials,90.940115897,Large-cap
UDR,UDR Inc,Real Estate,9.050154422,Mid-cap
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,13.300000127,Large-cap
UAA,Under Armour Class A,Consumer Discretionary,5.856913571,Mid-cap
UA,Under Armour Class C,Consumer Discretionary,5.36662895,Mid-cap
UNP,Union Pacific,Industrials,101.513290382,Large-cap
UAL,United Continental Holdings,Industrials,19.363059152,Large-cap
UNH,United Health Group Inc.,Health Care,218.834811333,Mega-cap
UPS,United Parcel Service,Industrials,96.436356833,Large-cap
URI,"United Rentals, Inc.",Industrials,14.654954091,Large-cap
UTX,United Technologies,Industrials,105.387272474,Large-cap
UHS,"Universal Health Services, Inc.",Health Care,11.116075286,Large-cap
UNM,Unum Group,Financials,11.256432318,Large-cap
VFC,V.F. Corp.,Consumer Discretionary,31.797645904,Large-cap
VLO,Valero Energy,Energy,39.312309113,Large-cap
VAR,Varian Medical Systems,Health Care,10.69268172,Large-cap
VTR,Ventas Inc,Real Estate,18.865999082,Large-cap
VRSN,Verisign Inc.,Information Technology,10.754983829,Large-cap
VRSK,Verisk Analytics,Industrials,15.594677147,Large-cap
VZ,Verizon Communications,Telecommunication Services,208.092277044,Mega-cap
VRTX,Vertex Pharmaceuticals Inc,Health Care,39.369386348,Large-cap
VIAB,Viacom Inc.,Consumer Discretionary,10.601008017,Large-cap
V,Visa Inc.,Information Technology,270.038723213,Mega-cap
VNO,Vornado Realty Trust,Real Estate,12.778779911,Large-cap
VMC,Vulcan Materials,Materials,16.964162228,Large-cap
WMT,Wal-Mart Stores,Consumer Staples,304.680931618,Mega-cap
WBA,Walgreens Boots Alliance,Consumer Staples,70.862541911,Large-cap
WM,Waste Management Inc.,Industrials,35.488486675,Large-cap
WAT,Waters Corporation,Health Care,16.064078572,Large-cap
WEC,Wec Energy Group Inc,Utilities,18.890296993,Large-cap
WFC,Wells Fargo,Financials,281.463620775,Mega-cap
HCN,Welltower Inc.,Real Estate,20.943679019,Large-cap
WDC,Western Digital,Information Technology,24.760297793,Large-cap
WU,Western Union Co,Information Technology,8.951609207,Mid-cap
WRK,WestRock Company,Materials,16.433340688,Large-cap
WY,Weyerhaeuser Corp.,Real Estate,26.07029796,Large-cap
WHR,Whirlpool Corp.,Consumer Discretionary,12.17792,Large-cap
WMB,Williams Cos.,Energy,24.80239647,Large-cap
WLTW,Willis Towers Watson,Financials,20.780269334,Large-cap
WYN,Wyndham Worldwide,Consumer Discretionary,11.993835688,Large-cap
WYNN,Wynn Resorts Ltd,Consumer Discretionary,18.225400525,Large-cap
XEL,Xcel Energy Inc,Utilities,21.559611927,Large-cap
XRX,Xerox Corp.,Information Technology,7.93883334,Mid-cap
XLNX,Xilinx Inc,Information Technology,17.064975551,Large-cap
XL,XL Capital,Financials,10.75342359,Large-cap
XYL,Xylem Inc.,Industrials,12.915021,Large-cap
YUM,Yum! Brands Inc,Consumer Discretionary,27.003303098,Large-cap
ZBH,Zimmer Biomet Holdings,Health Care,24.454698119,Large-cap
ZION,Zions Bancorp,Financials,10.67067864,Large-cap
ZTS,Zoetis,Health Care,35.991109776,Large-cap
